	Plasmids
0	['NZ_AP025695', 'NZ_CP062341', 'NZ_CP099496']
1	['NZ_CP030153', 'NZ_CP101880', 'NZ_CP103705']
2	['NZ_CP030154', 'NZ_CP073991', 'NZ_CP103571']
3	['NZ_CP045003', 'NZ_MN208062']
4	['NZ_CP046249', 'NZ_CP092909']
5	['NZ_CP051767', 'NZ_CP051769', 'NZ_CP051771']
6	['NZ_CP054417', 'NZ_CP096715', 'NZ_CP096761']
7	['NZ_CP054561', 'NZ_CP102832']
8	['NZ_CP060797', 'NZ_CP091910']
9	['NZ_CP061851', 'NZ_CP081288']
10	['NZ_CP062316', 'NZ_CP062460', 'NZ_CP099578', 'NZ_CP103849']
11	['NZ_CP062317', 'NZ_CP091524']
12	['NZ_CP062319', 'NZ_CP062355', 'NZ_CP099503']
13	['NZ_CP062321', 'NZ_CP062337']
14	['NZ_CP062323', 'NZ_CP092562']
15	['NZ_CP062328', 'NZ_CP099505']
16	['NZ_CP062330', 'NZ_CP092564', 'NZ_OL689186']
17	['NZ_CP062332', 'NZ_CP062394', 'NZ_CP062429', 'NZ_CP092553', 'NZ_CP092566']
18	['NZ_CP062333', 'NZ_CP062345', 'NZ_CP062369', 'NZ_CP062424', 'NZ_CP062464', 'NZ_CP092054']
19	['NZ_CP062335', 'NZ_CP092568', 'NZ_OL689185']
20	['NZ_CP062343', 'NZ_CP062349', 'NZ_CP092555']
21	['NZ_CP062359', 'NZ_CP062379']
22	['NZ_CP062375', 'NZ_CP098730']
23	['NZ_CP062377', 'NZ_CP092557', 'NZ_CP098258', 'NZ_CP099509']
24	['NZ_CP062381', 'NZ_CP093937']
25	['NZ_CP062392', 'NZ_CP062438', 'NZ_CP091413']
26	['NZ_CP062459', 'NZ_CP092543']
27	['NZ_CP064366', 'NZ_CP092541', 'NZ_CP092560', 'NZ_CP092582']
28	['NZ_CP064394', 'NZ_CP093359']
29	['NZ_CP064396', 'NZ_CP065414', 'NZ_CP073950', 'NZ_CP075725', 'NZ_CP076822', 'NZ_CP080290', 'NZ_CP090346', 'NZ_CP103297', 'NZ_CP103320', 'NZ_CP103516', 'NZ_CP103534', 'NZ_CP103552', 'NZ_CP103583']
30	['NZ_CP065416', 'NZ_CP077980']
31	['NZ_CP065786', 'NZ_CP075605']
32	['NZ_CP068250', 'NZ_CP102071']
