	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
NZ_CP103534	1	105260	49.07752232566977	719f4e3d828787cc277c2010e1f6136d	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	-	-	MPF_F	NC_010409_00124,NC_022651_00077	MOBF	CP000430	mobilizable	CP024827	0.0145592	Escherichia coli	AA179	AH866	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 28842132; 15781495; 20851899; 16257053
NZ_CP062325	1	27068	30.53790453672233	9a5ab006f01f0a827967e6fb7f65fb43	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	000261__GQ900456,CP000737,AP003139	-	-	-	-	MOBQ	AF001314	mobilizable	CP014422	0.000119496	Staphylococcus aureus	AA840	AJ227	class	Bacilli	class	Bacilli	-	-	-
NZ_CP087329	1	88290	40.18801676294031	5efb45f61432e5e59ecb614325f9cac9	rep_cluster_639	002092__CU459140_00002	MOBP,MOBP	NZ_AEOY01000096_00007,NZ_ALIG01000010_00048	-	-	-	-	mobilizable	CP033769	0.00881017	Acinetobacter baumannii	AB408	AK177	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP092559	1	78566	34.601481556907565	9aafc871d2240e188d950f77dd509ee1	rep_cluster_1763,rep_cluster_185,rep_cluster_889,rep_cluster_935	001182__KY595965_00001,001274__DQ198088_00024,002366__KY595966_00031,002420__CP003354_00001	-	-	-	-	-	-	non-mobilizable	CP040708	0.0124467	Enterococcus faecium	AB173	AJ809	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP103658	1	131479	52.21214034180363	a26b98c1e7f030125257fb97df9688a0	IncFIA,IncFIB,IncFII,IncFII	000136__AP014877_00014,000095__NZ_CP014273_00094,AJ851089,KF954760	MOBF,MOBF	NC_017627_00068,CP008715_00128	MPF_F	NC_008460_00107,08-5333_00200	-	-	conjugative	CP008715	0.00744966	Escherichia coli	AA174	AH841	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP091905	1	54858	33.661453206460315	7355f1730b1d84b1ed8c5143c5a0183f	rep_cluster_185,rep_cluster_992	001274__DQ198088_00024,002472__AE016833_00001	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP028286	0.0374354	Enterococcus faecalis	AE315	AO074	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP101916	1	129083	50.05151724084504	1fdfe8bf34f52e4db01ca37fc4a3fe7a	IncFIA,IncFII,IncN,IncN,IncR,IncX1	000136__AP014877_00014,JN232517,000153__NC_019087_00001,000154__NZ_CP009853,000204__CP008701_00115,000215__KC853434_00019	MOBP,MOBQ	NC_019047_00022,KJ541068_00004	MPF_T	NC_023277_00163,NC_019047_00030,NC_019047_00031,NC_019047_00032,NC_019047_00035,NC_016976_00061	MOBF	NZ_CP016035	conjugative	MK731977	0.027077	Escherichia coli	AC305	AL438	class	Gammaproteobacteria	class	Gammaproteobacteria	order	Enterobacterales	10773089; 21625636; 25389419; 23114770; 19897651; 28842132; 23711894; 22470007; 24247128; 20851899; 22511964
NZ_CP085296	1	77870	35.33838448696545	500c66b632dcc5105f7d740420a2c391	rep_cluster_1118,rep_cluster_992	000382__CP017110,002472__AE016833_00001	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	CP042214	0.00940624	Enterococcus faecalis	AD582	AN186	multi-phylla	Bacteroidetes,Firmicutes,Proteobacteria	multi-phylla	Bacteroidetes,Firmicutes,Proteobacteria	-	-	-
NZ_CP101879	1	85336	52.6296053248336	613078a6203d08912a60faef1b044737	IncFIB,IncFII,rep_cluster_2183	000097__NC_025166_00051,000129__CP018340,CP033468_00001	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_023905_00125,NC_019165_00034,NC_021654_00016,NC_019389_00080,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	KU665642	0.00912584	Klebsiella pneumoniae	AA018	AH561	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 20547789; 19482926; 15781495; 20851899; 16257053
NZ_CP091200	1	35753	33.25035661343104	ad89382e7e56b06e91d80dcfd3d0ff16	rep_cluster_980	002463__CP002494_00007	-	-	-	-	-	-	non-mobilizable	CP019514	0.0170687	Enterococcus faecalis	AE309	AO064	genus	Enterococcus	genus	Enterococcus	-	-	-
