Contig id	Gene symbol	Start	Stop	Strand	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	Strain	Plasmid	BioSample	Organism	Size
NZ_AF313472.1	blaCARB-2	5158	6021	+	PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	288	288	100.0	100.0	288	WP_001931474.1	PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-2	aeruginosa	 RPL11	SAMN14224720	Pseudomonas aeruginosa	20
NZ_AF313472.1	cmlA6	6339	7595	+	chloramphenicol efflux MFS transporter CmlA6	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	ALLELEX	419	419	100.0	100.0	419	WP_001256773.1	chloramphenicol efflux MFS transporter CmlA6	aeruginosa	 RPL11	SAMN14224720	Pseudomonas aeruginosa	20
NZ_AF313472.1	aadA1	7691	8479	+	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.0	100.0	263	WP_001206316.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	aeruginosa	 RPL11	SAMN14224720	Pseudomonas aeruginosa	20
NZ_AF313472.1	qacE	8646	8969	+	quaternary ammonium compound efflux SMR transporter QacE	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTX	108	115	93.91	100.0	108	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	aeruginosa	 RPL11	SAMN14224720	Pseudomonas aeruginosa	20
NZ_AF313472.1	aph(3'')-Ib	15594	16394	+	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.0	100.0	267	WP_010794532.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	aeruginosa	 RPL11	SAMN14224720	Pseudomonas aeruginosa	20
NZ_AF313472.1	aph(6)-Id	16397	17230	+	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.0	100.0	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	aeruginosa	 RPL11	SAMN14224720	Pseudomonas aeruginosa	20
NZ_CP045003.1	aph(3')-Ia	92961	93773	-	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.0	100.0	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	PAG5	 pPAG5	GCF_011106815.1	Pseudomonas aeruginosa	513
NZ_CP045003.1	mph(E)	96520	97401	-	Mph(E) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	294	294	100.0	100.0	294	WP_000155092.1	Mph(E) family macrolide 2'-phosphotransferase	PAG5	 pPAG5	GCF_011106815.1	Pseudomonas aeruginosa	513
NZ_CP045003.1	msr(E)	97460	98929	-	ABC-F type ribosomal protection protein Msr(E)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	490	491	99.8	100.0	490	WP_000052512.1	ABC-F type ribosomal protection protein Msr(E)	PAG5	 pPAG5	GCF_011106815.1	Pseudomonas aeruginosa	513
NZ_CP045003.1	armA	102336	103106	-	16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	257	257	100.0	100.0	257	WP_000359986.1	16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA	PAG5	 pPAG5	GCF_011106815.1	Pseudomonas aeruginosa	513
